ID,order,mle,beta,gammaPlus,a0,m0,pBurst_1,pBurst_2,threshold
S4_29,4,39.452,0.314,0.009,114.104,289831.134,0.00039369,0.00039369,1951
S4_3,4,52.833,0.285,1.856,40493.780,735855.728,0.05502951,0.05502951,1952
S4_30,4,45.65,0.495,5,211985.006,999598.926,0.21207006,0.21207006,1953
S4_30_x,4,28.902,0.13,0.536,4365.287,533737.974,0.00817871,0.00817871,1954
S4_32,4,51.857,0.271,4.531,996.349,7340.377,0.13573540,0.13573540,1955
S4_33,4,42.621,0.18,4.975,128841.575,1000000.000,0.12884158,0.12884158,1956
S4_34,4,42.639,0.089,5,49609.170,999999.999,0.04960917,0.04960917,1957
S4_35,4,47.02,0.169,0.117,1000.085,588202.458,0.00170024,0.00170024,1958
S4_36,4,40.762,0.496,5,243084.217,977613.442,0.24865065,0.24865065,1959
S4_37,4,32.808,0.059,0.215,205.932,148566.865,0.00138612,0.00138612,1960
S4_38,4,59.584,0.146,4.951,114604.751,1000000.000,0.11460475,0.11460475,1961
S4_38_x,4,51.713,0.296,0.011,325.657,930339.474,0.00035004,0.00035004,1962
S4_39,4,34.805,0.13,5,57890.290,999966.452,0.05789223,0.05789223,1963
S4_4,4,50.444,0.082,4.998,62368.139,932724.084,0.06686665,0.06686665,1964
S4_40,4,50.612,0.207,0.905,2341.922,115183.392,0.02033212,0.02033212,1965
S4_41,4,27.589,0.164,5,207906.565,965380.472,0.21536231,0.21536231,1966
S4_42,4,29.253,0.001,5,3685.765,816551.388,0.00451382,0.00451382,1967
S4_43,4,55.7,0.094,0.012,128.999,570550.982,0.00022610,0.00022610,1968
S4_43_x,4,36.232,0.114,0.07,827.410,752190.210,0.00110000,0.00110000,1969
S4_44,4,53.092,0.094,1.831,12163.487,487999.092,0.02492522,0.02492522,1970
S4_45,4,38.84,0.166,0.063,1416.183,852901.691,0.00166043,0.00166043,1971
S4_46,4,44.386,0.361,4.974,999.011,3810.631,0.26216419,0.26216419,1972
S4_47,4,7.418,0.001,0.002,1.000,749256.520,0.00000133,0.00000133,1973
S4_48,4,28.384,0.7,4.126,55464.162,573395.519,0.09672933,0.09672933,1974
S4_5,4,68.229,0.016,5,19582.320,989569.901,0.01978872,0.01978872,1975
S4_50,4,49.002,0.477,5,1145.509,3720.626,0.30788072,0.30788072,1976
S4_51,4,62.241,0.12,4.887,82907.666,1000000.000,0.08290767,0.08290767,1977
S4_53,4,49.689,0.064,3.154,28327.755,873549.581,0.03242833,0.03242833,1978
S4_54,4,46.909,0.068,5,62067.322,937711.133,0.06619024,0.06619024,1979
S4_55,4,50.572,0.104,4.661,157903.938,1000000.000,0.15790394,0.15790394,1980
S4_56,4,42.589,0.608,0.003,243.238,926530.517,0.00026253,0.00026253,1981
S4_57,4,4.856,0.7,3.033,23253.427,686262.735,0.03388415,0.03388415,1982
S4_58,4,58.325,0.044,4.813,41132.997,999999.367,0.04113302,0.04113302,1983
S4_59,4,48.794,0.421,0.069,2296.416,719013.817,0.00319384,0.00319384,1984
S4_6,4,55.514,0.078,0.017,383.668,753851.665,0.00050894,0.00050894,1985
S4_60,4,47.785,0.054,4.984,43279.347,998850.372,0.04332916,0.04332916,1986
S4_61,4,64.923,0.017,2.261,941.910,106993.010,0.00880347,0.00880347,1987
S4_62,4,1.386,0.16,0.001,627891.211,627891.211,1.00000000,1.00000000,1988
S4_63,4,45.8,0.575,3.546,301.088,714.656,0.42130480,0.42130480,1989
S4_64,4,46.812,0.545,0.009,401.243,903110.610,0.00044429,0.00044429,1990
S4_65,4,50.054,0.331,0.057,1326.209,531258.102,0.00249636,0.00249636,1991
S4_66,4,59.113,0.107,5,12699.389,170318.692,0.07456251,0.07456251,1992
S4_67,4,59.923,0.197,5,195673.850,980696.023,0.19952549,0.19952549,1993
S4_68,4,49.759,0.171,0.106,468.707,272112.559,0.00172247,0.00172247,1994
S4_69,4,52.645,0.161,0.015,406.028,716643.004,0.00056657,0.00056657,1995
S4_7,4,50.38,0.308,4.942,211935.970,999999.989,0.21193597,0.21193597,1996
S4_70,4,63.484,0.044,5,63786.477,998952.461,0.06385337,0.06385337,1997
S4_71,4,54.076,0.092,0.993,1887.242,174313.271,0.01082673,0.01082673,1998
S4_74,4,38.582,0.624,0.248,8293.961,573896.697,0.01445201,0.01445201,1999
S4_74_x,4,56.377,0.091,5,108587.822,991949.554,0.10946910,0.10946910,2000
S4_8,4,46.913,0.093,0.181,1047.796,436940.099,0.00239803,0.00239803,2001
S4_9,4,57.345,0.136,0.125,1490.005,682686.479,0.00218256,0.00218256,2002
S5_1,4,40.049,0.248,0.07,1091.022,604287.073,0.00180547,0.00180547,2003
S5_10,4,56.403,0.093,4.161,2059.280,43975.658,0.04682772,0.04682772,2004
S5_100,4,52.015,0.048,4.321,38209.332,1000000.000,0.03820933,0.03820933,2005
S5_101,4,35.229,0.3,4.958,113459.423,1000000.000,0.11345942,0.11345942,2006
S5_102,4,48.83,0.149,0.372,763.237,123896.055,0.00616030,0.00616030,2007
S5_103,4,58.639,0.079,4.969,66674.069,1000000.000,0.06667407,0.06667407,2008
S5_104,4,64.608,0.032,4.999,26977.925,993200.221,0.02716262,0.02716262,2009
S5_105,4,52.374,0.096,3.37,1349.271,36838.757,0.03662640,0.03662640,2010
S5_106,4,45.042,0.379,0.014,570.106,922627.271,0.00061792,0.00061792,2011
S5_107,4,54.859,0.168,0.024,583.511,865789.615,0.00067396,0.00067396,2012
S5_108,4,58.183,0.174,0.301,6196.198,1000000.000,0.00619620,0.00619620,2013
S5_109,4,62.869,0.12,1.269,5268.504,155709.809,0.03383540,0.03383540,2014
S5_11,4,45.374,0.485,0.135,6192.127,948846.620,0.00652595,0.00652595,2015
S5_110,4,44.018,0.103,5,71674.689,999999.999,0.07167469,0.07167469,2016
S5_111,4,26.319,0.234,1.383,21392.755,976537.061,0.02190675,0.02190675,2017
S5_112,4,49.068,0.394,1.479,120294.712,1000000.000,0.12029471,0.12029471,2018
S5_113,4,23.652,0.7,4.342,94909.160,928463.863,0.10222171,0.10222171,2019
S5_114,4,36.961,0.493,0.423,3758.433,259275.047,0.01449593,0.01449593,2020
S5_115,4,60.596,0.073,4.976,89594.452,999959.900,0.08959804,0.08959804,2021
S5_116,4,40.734,0.417,1.101,2284.923,47709.170,0.04789274,0.04789274,2022
S5_117,4,48.269,0.096,4.961,71353.511,999591.396,0.07138268,0.07138268,2023
S5_118,4,52.811,0.139,0.838,11532.284,829897.766,0.01389603,0.01389603,2024
S5_119,4,65.522,0.067,5,57705.092,993182.804,0.05810118,0.05810118,2025
S5_12,4,47.708,0.123,5,70770.025,914543.455,0.07738290,0.07738290,2026
S5_120,4,35.569,0.7,0.517,232317.345,956662.374,0.24284152,0.24284152,2027
S5_13,4,55.221,0.093,5,60127.656,988900.590,0.06080253,0.06080253,2028
S5_14,4,47.804,0.237,5,271320.229,982373.591,0.27618844,0.27618844,2029
S5_15,4,60.168,0.052,4.971,20444.956,537463.576,0.03803971,0.03803971,2030
S5_16,4,57.944,0.096,0.156,975.477,497702.246,0.00195996,0.00195996,2031
S5_17,4,33.663,0.033,2.076,5624.805,526122.986,0.01069105,0.01069105,2032
S5_18,4,25.659,0.203,0.034,462.256,865090.768,0.00053434,0.00053434,2033
S5_19,4,34.102,0.7,0.412,15386.862,775089.081,0.01985173,0.01985173,2034
S5_2,4,61.345,0.116,0.247,2463.239,475488.108,0.00518044,0.00518044,2035
S5_20,4,47.923,0.146,4.76,83259.783,1000000.000,0.08325978,0.08325978,2036
S5_21,4,60.467,0.091,0.067,730.121,902759.242,0.00080877,0.00080877,2037
S5_22,4,58.175,0.095,5,87381.158,998855.041,0.08748132,0.08748132,2038
S5_23,4,43.003,0.7,0.049,4109.411,449519.771,0.00914178,0.00914178,2039
S5_24,4,36.057,0.168,4.755,6577.190,98836.140,0.06654641,0.06654641,2040
S5_25,4,42.903,0.099,0.131,933.652,540456.769,0.00172752,0.00172752,2041
S5_26,4,51.771,0.114,5,31059.852,447682.062,0.06937926,0.06937926,2042
S5_27,4,38.215,0.149,0.149,2062.860,921204.280,0.00223931,0.00223931,2043
S5_28,4,49.25,0.216,5,135746.314,997449.286,0.13609345,0.13609345,2044
S5_29,4,36.094,0.18,4.993,73633.892,999999.999,0.07363389,0.07363389,2045
S5_3,4,35.497,0.215,0.077,1579.677,999444.848,0.00158055,0.00158055,2046
S5_30,4,67.838,0.014,5,10815.604,742898.968,0.01455865,0.01455865,2047
S5_31,4,51.378,0.11,5,70448.632,999778.848,0.07046422,0.07046422,2048
S5_32,4,55.995,0.164,0.244,3119.555,459807.658,0.00678448,0.00678448,2049
S5_33,4,62.437,0.099,1.401,10008.565,469770.920,0.02130520,0.02130520,2050
S5_34,4,38.781,0.638,0.477,11913.861,918237.706,0.01297470,0.01297470,2051
S5_35,4,55.973,0.188,4.986,1742.641,13069.237,0.13333915,0.13333915,2052
S5_36,4,52.031,0.022,4.999,41284.038,993404.509,0.04155813,0.04155813,2053
S5_37,4,48.546,0.252,0.105,2375.771,861329.011,0.00275826,0.00275826,2054
S5_38,4,56.208,0.085,0.142,2493.156,993577.893,0.00250927,0.00250927,2055
S5_39,4,56.115,0.115,0.178,2750.145,903220.289,0.00304482,0.00304482,2056
S5_4,4,58.801,0.169,0.183,3271.955,505748.493,0.00646953,0.00646953,2057
S5_40,4,36.933,0.196,0.13,1501.856,568133.928,0.00264349,0.00264349,2058
S5_41,4,53.863,0.144,4.997,99919.827,999384.518,0.09998136,0.09998136,2059
S5_42,4,55.098,0.242,0.032,1283.978,921049.267,0.00139404,0.00139404,2060
S5_43,4,58.714,0.074,1.542,7120.321,354751.590,0.02007129,0.02007129,2061
S5_44,4,51.22,0.266,1.929,52930.636,1000000.000,0.05293064,0.05293064,2062
S5_45,4,56.49,0.075,4.874,58080.964,999999.997,0.05808096,0.05808096,2063
S5_46,4,60.887,0.056,4.96,57275.036,1000000.000,0.05727504,0.05727504,2064
S5_47,4,49.764,0.205,5,116405.938,999347.679,0.11648192,0.11648192,2065
S5_48,4,60.88,0.151,0.159,2113.803,624634.236,0.00338407,0.00338407,2066
S5_49,4,33.965,0.133,3.683,5781.216,159529.280,0.03623922,0.03623922,2067
S5_5,4,33.294,0.7,5,175237.370,981016.141,0.17862843,0.17862843,2068
S5_50,4,65.141,0.092,0.125,702.738,544671.431,0.00129021,0.00129021,2069
S5_51,4,55.908,0.135,0.106,1828.016,954471.384,0.00191521,0.00191521,2070
S5_52,4,45.258,0.121,0.462,7895.009,1000000.000,0.00789501,0.00789501,2071
S5_53,4,48.39,0.148,2.629,78121.374,1000000.000,0.07812137,0.07812137,2072
S5_54,4,55.508,0.123,0.321,6356.172,886187.979,0.00717249,0.00717249,2073
S5_55,4,55.314,0.232,4.999,107949.227,999879.731,0.10796221,0.10796221,2074
S5_56,4,40.07,0.416,5,177682.166,989307.140,0.17960263,0.17960263,2075
S5_57,4,35.867,0.33,2.488,52263.733,946897.816,0.05519469,0.05519469,2076
S5_58,4,49.862,0.075,1.305,9579.032,830826.398,0.01152952,0.01152952,2077
S5_59,4,47.303,0.268,3.675,85908.935,982678.958,0.08742320,0.08742320,2078
S5_6,4,51.255,0.041,5,35406.234,997641.152,0.03548995,0.03548995,2079
S5_60,4,51.177,0.206,0.467,1757.358,49208.430,0.03571254,0.03571254,2080
S5_61,4,52.476,0.364,0.209,7225.218,941000.214,0.00767823,0.00767823,2081
S5_62,4,57.828,0.061,1.132,10378.411,824469.822,0.01258798,0.01258798,2082
S5_63,4,45.579,0.503,4.682,4340.294,25471.183,0.17040017,0.17040017,2083
S5_64,4,59.784,0.156,5,101906.446,999999.997,0.10190645,0.10190645,2084
S5_65,4,51.433,0.364,0.006,339.326,943209.709,0.00035976,0.00035976,2085
S5_66,4,56.903,0.029,5,26985.969,910717.682,0.02963154,0.02963154,2086
S5_67,4,57.804,0.082,3.996,50654.678,999844.670,0.05066255,0.05066255,2087
S5_68,4,33.453,0.7,0.945,40235.824,901868.455,0.04461385,0.04461385,2088
S5_69,4,43.187,0.069,4.789,53478.914,1000000.000,0.05347891,0.05347891,2089
S5_7,4,34.508,0.46,0.156,2209.140,430095.015,0.00513640,0.00513640,2090
S5_70,4,42.175,0.282,3.844,2962.445,42749.754,0.06929736,0.06929736,2091
S5_71,4,50.334,0.068,4.976,52634.383,994750.703,0.05291213,0.05291213,2092
S5_72,4,71.083,0.041,0.288,2255.771,895834.591,0.00251807,0.00251807,2093
S5_73,4,43.91,0.247,5,118108.389,975220.103,0.12110947,0.12110947,2094
S5_74,4,45.759,0.286,0.083,2311.825,716443.008,0.00322681,0.00322681,2095
S5_75,4,47.154,0.245,0.401,8195.904,941406.017,0.00870602,0.00870602,2096
S5_76,4,51.798,0.06,3.658,6438.299,191219.783,0.03366963,0.03366963,2097
S5_77,4,46.18,0.139,0.955,2716.286,189210.902,0.01435586,0.01435586,2098
S5_78,4,51.203,0.096,4.946,81238.486,1000000.000,0.08123849,0.08123849,2099
S5_79,4,49.98,0.113,5,68696.395,996647.148,0.06892750,0.06892750,2100
S5_8,4,38.086,0.67,4.978,221572.322,1000000.000,0.22157232,0.22157232,2101
S5_80,4,53.217,0.205,0.051,567.016,646569.640,0.00087696,0.00087696,2102
S5_81,4,45.953,0.163,0.869,2462.695,174755.419,0.01409224,0.01409224,2103
S5_82,4,40.882,0.266,4.992,94546.347,999999.991,0.09454635,0.09454635,2104
S5_83,4,42.621,0.568,4.53,195.356,510.441,0.38272004,0.38272004,2105
S5_84,4,42.587,0.144,0.082,1186.840,889203.443,0.00133472,0.00133472,2106
S5_85,4,59.38,0.029,0.734,2728.488,716234.671,0.00380949,0.00380949,2107
S5_86,4,57.721,0.048,5,36389.807,999741.856,0.03639920,0.03639920,2108
S5_87,4,42.803,0.505,1.563,88835.184,1000000.000,0.08883518,0.08883518,2109
S5_88,4,37.31,0.092,0.528,5287.604,790761.211,0.00668673,0.00668673,2110
S5_89,4,41.199,0.154,0.561,8129.479,861125.944,0.00944052,0.00944052,2111
S5_9,4,63.197,0.082,5,61955.163,993714.572,0.06234704,0.06234704,2112
S5_90,4,53.112,0.092,4.978,69303.768,999999.966,0.06930377,0.06930377,2113
S5_91,4,42.505,0.145,0.128,867.970,597913.739,0.00145166,0.00145166,2114
S5_92,4,51.838,0.174,0.169,2495.255,744432.679,0.00335189,0.00335189,2115
S5_93,4,45.533,0.159,4.992,108619.640,999996.194,0.10862005,0.10862005,2116
S5_94,4,55.367,0.11,4.779,91272.478,1000000.000,0.09127248,0.09127248,2117
S5_95,4,32.753,0.297,5,130212.821,998747.822,0.13037608,0.13037608,2118
S5_96,4,41.928,0.21,2.599,6778.576,187676.090,0.03611848,0.03611848,2119
S5_97,4,51.851,0.143,4.018,76824.691,1000000.000,0.07682469,0.07682469,2120
S5_98,4,47.386,0.155,4.836,123.059,1251.868,0.09830030,0.09830030,2121
S5_99,4,56.864,0.051,4.856,52123.137,999999.859,0.05212314,0.05212314,2122
