ID,order,mle,beta,gammaPlus,a0,m0,pBurst_1,pBurst_2,threshold
S3_525,4,58.644,0.149,0.198,1335.882,417914.634,0.00319654,0.00319654,1760
S3_526,4,47.022,0.122,4.6,78900.004,999999.979,0.07890001,0.07890001,1761
S3_527,4,49.985,0.216,4.359,786.814,8298.567,0.09481324,0.09481324,1762
S3_528,4,62.233,0.079,5,60514.250,949212.506,0.06375206,0.06375206,1763
S3_529,4,59.127,0.095,1.922,13693.225,670135.702,0.02043351,0.02043351,1764
S3_530,4,54.87,0.121,4.999,116125.220,999999.973,0.11612522,0.11612522,1765
S3_531,4,38.329,0.104,4.997,59807.173,999990.256,0.05980776,0.05980776,1766
S3_532,4,44.31,0.415,5,95609.428,869458.131,0.10996438,0.10996438,1767
S3_533,4,41.88,0.117,5,29978.084,478523.592,0.06264703,0.06264703,1768
S3_534,4,55.543,0.122,0.425,5472.690,921039.783,0.00594186,0.00594186,1769
S3_535,4,46.845,0.382,3.375,25978.910,204453.033,0.12706542,0.12706542,1770
S3_536,4,42.79,0.062,5,40200.669,873902.694,0.04600131,0.04600131,1771
S3_537,4,57.687,0.123,0.06,626.559,595279.779,0.00105255,0.00105255,1772
S3_538,4,46.772,0.144,0.224,3615.902,829182.796,0.00436080,0.00436080,1773
S3_539,4,37.991,0.594,0.051,2232.414,991417.817,0.00225174,0.00225174,1774
S3_540,4,38.354,0.597,4.247,93778.571,1000000.000,0.09377857,0.09377857,1775
S3_541,4,49.62,0.118,4.657,62752.470,1000000.000,0.06275247,0.06275247,1776
S3_542,4,56.131,0.13,4.965,86038.173,999999.999,0.08603817,0.08603817,1777
S3_543,4,57.761,0.048,4.968,47597.277,1000000.000,0.04759728,0.04759728,1778
S3_544,4,56.271,0.084,5,49908.543,949228.302,0.05257802,0.05257802,1779
S3_545,4,46.86,0.152,0.067,785.353,572366.322,0.00137212,0.00137212,1780
S3_546,4,48.616,0.139,0.044,433.868,760385.255,0.00057059,0.00057059,1781
S3_547,4,55.784,0.034,4.957,34867.194,999994.499,0.03486739,0.03486739,1782
S3_548,4,53.426,0.09,0.445,1416.358,222602.775,0.00636271,0.00636271,1783
S3_549,4,52.822,0.135,4.773,73468.810,862252.791,0.08520565,0.08520565,1784
S3_550,4,47.108,0.43,0.06,2385.746,930040.079,0.00256521,0.00256521,1785
S3_551,4,32.911,0.3,0.084,1825.724,798659.081,0.00228599,0.00228599,1786
S3_552,4,42.431,0.147,0.561,5114.469,699416.668,0.00731248,0.00731248,1787
S3_553,4,60.288,0.118,0.158,1810.729,633676.473,0.00285750,0.00285750,1788
S3_554,4,37.642,0.093,4.767,57155.537,1000000.000,0.05715554,0.05715554,1789
S3_555,4,61.6,0.171,4.998,115997.339,999998.397,0.11599752,0.11599752,1790
S3_556,4,45.219,0.208,4.99,97780.374,971633.872,0.10063500,0.10063500,1791
S3_557,4,26.567,0.465,0.234,4736.763,945038.690,0.00501224,0.00501224,1792
S3_558,4,47.201,0.158,4.981,115855.397,999998.869,0.11585553,0.11585553,1793
S3_559,4,60.954,0.061,0.17,1354.442,936214.023,0.00144672,0.00144672,1794
S3_560,4,55.67,0.051,3.709,32510.927,999997.245,0.03251102,0.03251102,1795
S3_561,4,56.3,0.134,5,130775.162,999945.859,0.13078224,0.13078224,1796
S3_562,4,36.49,0.389,3.746,1706.847,15256.702,0.11187523,0.11187523,1797
S3_563,4,52.912,0.047,0.433,3082.288,911645.994,0.00338101,0.00338101,1798
S3_564,4,51.476,0.092,4.658,55886.467,1000000.000,0.05588647,0.05588647,1799
S3_565,4,58.253,0.158,5,120058.260,1000000.000,0.12005826,0.12005826,1800
S3_566,4,54.845,0.238,5,137701.721,998109.298,0.13796257,0.13796257,1801
S3_567,4,47.125,0.108,4.979,88000.835,999998.344,0.08800098,0.08800098,1802
S3_568,4,60.851,0.131,0.853,6925.987,488529.141,0.01417722,0.01417722,1803
S3_569,4,42.206,0.118,5,45900.553,714651.973,0.06422784,0.06422784,1804
S3_570,4,38.596,0.128,0.777,981.496,94518.890,0.01038413,0.01038413,1805
S3_571,4,42.764,0.158,4.982,87024.572,988468.473,0.08803981,0.08803981,1806
S3_572,4,50.421,0.315,0.086,2637.371,599751.823,0.00439744,0.00439744,1807
S3_573,4,58.792,0.127,5,102231.352,999995.418,0.10223182,0.10223182,1808
S3_574,4,49.019,0.13,0.237,2405.765,674691.808,0.00356572,0.00356572,1809
