ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1001,BalloonDeflate,11,17735.65201800926,17735.651964618057,17735,56329.743,18,1,0,1.052,3,51
S1_1001,BalloonDeflate,12,17735.652095752313,17735.65203103009,17735,56335.481,19,1,0,1.029,3,52
S1_1001,BalloonDeflate,13,17735.652182731483,17735.652108854167,17735,56342.205,17,1,0,1.128,3,53
S1_1001,BalloonDeflate,14,17735.65225289352,17735.652196608797,17735,56349.787,16,1,0,1.217,3,54
S1_1001,BalloonDeflate,15,17735.65227295139,17735.65226409722,17735,56355.618,5,0,1,NA,3,55
S1_1001,BalloonDeflate,16,17735.652305798612,17735.652305439813,17735,56359.19,1,0,1,NA,3,56
S1_1001,BalloonDeflate,17,17735.652413738426,17735.65233673611,17735,56361.894,23,1,0,0.974,3,57
S1_1001,BalloonDeflate,18,17735.652510069445,17735.652428159723,17735,56369.793,19,1,0,1.149,3,58
S1_1001,BalloonDeflate,19,17735.652587199074,17735.652525625,17735,56378.214,20,1,0,1.005,3,59
S1_1001,BalloonDeflate,20,17735.652693530094,17735.652603344908,17735,56384.929,21,1,0,1.667,3,60
S1_1001,BalloonInflate,1,17735.65283681713,17735.6527525,17735,56397.816,26,1,0,1.176,4,61
S1_1001,BalloonInflate,2,17735.652858171296,17735.652851898147,17735,56406.404,4,0,1,NA,4,62
S1_1001,BalloonInflate,3,17735.652902858797,17735.6528859375,17735,56409.345,9,0,1,NA,4,63
S1_1001,BalloonInflate,4,17735.653011875,17735.65293090278,17735,56413.23,21,1,0,0.942,4,64
S1_1001,BalloonInflate,5,17735.653086261573,17735.653024224535,17735,56421.293,20,1,0,0.997,4,65
S1_1001,BalloonInflate,6,17735.653169814814,17735.653098171297,17735,56427.682,21,1,0,0.962,4,66
S1_1001,BalloonInflate,7,17735.653182731483,17735.653182372684,17735,56434.957,1,0,1,NA,4,67
S1_1001,BalloonInflate,8,17735.653289548613,17735.65321184028,17735,56437.503,23,1,0,1.357,4,68
S1_1001,BalloonInflate,9,17735.653364594906,17735.653302465278,17735,56445.333,22,1,0,0.87,4,69
S1_1001,BalloonInflate,10,17735.653439722224,17735.653376388887,17735,56451.72,22,1,0,1.217,4,70
S1_1001,BalloonInflate,11,17735.653529583335,17735.653455520835,17735,56458.557,22,1,0,1.188,4,71
S1_1001,BalloonInflate,12,17735.65359607639,17735.65354201389,17735,56466.03,21,1,0,0.918,4,72
S1_1001,BalloonInflate,13,17735.65366849537,17735.653609814814,17735,56471.888,22,1,0,0.814,4,73
S1_1001,BalloonInflate,14,17735.653736215278,17735.653679305557,17735,56477.892,23,1,0,0.873,4,74
S1_1001,BalloonInflate,15,17735.653807534723,17735.65375153935,17735,56484.133,20,1,0,1.185,4,75
S1_1001,BalloonInflate,16,17735.65385158565,17735.65381886574,17735,56489.95,16,0,1,NA,4,76
