ID,order,TotalMLE,mle,pBurst_1,pBurst_2,pExpl_1,pExpl_2,threshold,sdAvgLastTime_1,sdAvgLastTime_2,avgLastTime_1,avgLastTime_2,avgPumps_1,avgPumps_2,sdPumps_1,sdPumps_2,nbCollected_1,nbCollected_2,gammaPlus,beta
S5_63,3,282.2059,68.0738,0.04058,0.023256,0.0625,0.068182,15,0.256773,0.071418,0.995357,0.9605,21,8,5.964179,10.954451,14,2,1,0.17
S5_63,4,282.2059,75.3681,0.041667,0.034884,0.166667,0.055556,16,0.167583,0.255476,0.9182,1.1,21.1875,16.25,5.957838,11.086779,15,3,1,0.17
S5_64,1,276.6838,63.2889,0.023316,0.043478,0.047244,0,15,0.337548,0.123577,1.080667,1.0414,16.666667,22,14.960265,8.3666,9,5,1,0.17
S5_64,2,276.6838,66.3441,0.028736,0.04,0.086207,0,15,0.774287,0.095949,1.2184,0.8244,18.666667,24,14.573296,11.401754,10,5,1,0.17
S5_64,3,276.6838,70.3399,0.047619,0.03125,0,0.117647,2,0.434164,0.1917,1.217,0.863357,20,22.222222,0,13.527991,2,14,1,0.17
S5_64,4,276.6838,76.7109,0.042553,0.02621,0,0.090909,4,0.216567,0.17498,0.822,0.855154,22.5,28.125,5,14.705441,4,13,1,0.17
S5_65,1,241.2795,61.962,0.129032,0.081481,0,0.25,8,0.785503,0.501113,1.7355,1.519091,6.75,10,1.581139,4.492418,8,11,1,0.17
S5_65,2,241.2795,57.1758,0.069565,0.1125,0.111111,0.666667,9,0.63182,0.219341,1.533625,1.173111,10.888889,6.181818,4.484541,4.238353,8,9,1,0.17
S5_65,3,241.2795,59.3915,0.060606,0.108527,0.1,0.5,5,0.147301,0.141073,1.03425,0.844214,10.4,7.533333,5.899152,3.090693,4,14,1,0.17
S5_65,4,241.2795,62.7502,0.084577,0.25,0.5,0,18,0.114615,0.02192,0.837,0.8615,10.111111,3,3.529521,0,17,2,1,0.17
S5_66,1,244.2802,49.9928,0.013917,0.033708,0.041475,0,16,1.126402,0.176342,1.245571,0.737667,17.4375,28.666667,22.774163,21.126603,7,3,1,0.17
S5_66,2,244.2802,74.4364,0.026201,0.038328,0.057692,0,9,0.266828,0.093843,0.755667,0.714273,19,25.090909,15.074813,4.392142,6,11,1,0.17
S5_66,3,244.2802,61.629,0.039474,0.02847,0.25,0.113636,7,0.271718,0.096627,0.710167,0.6395,20.285714,17.615385,10.144198,15.019645,6,8,1,0.17
S5_66,4,244.2802,58.222,0.026316,0.010676,0.04717,0.044118,14,0.1052,0.039804,0.658,0.751333,16.214286,35,13.446066,40.234314,9,3,1,0.17
S5_67,1,272.8791,64.0334,0.055556,0.016129,0.1,0.032086,3,0.331633,0.163565,1.1905,0.854,8,28.470588,8,23.764779,2,11,1,0.17
S5_67,2,272.8791,67.6228,0.025424,0.018913,0.064516,0.04,8,0.189832,0.113554,0.811667,0.840625,24.875,26.25,16.374523,20.55204,6,8,1,0.17
