ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S2_104,2,130.742,60.7124,0.010837,0.026393,0.695946,1.768727
S2_105,1,92.1332,48.5685,0.012245,0.018797,0.478541,1.744778
S2_105,2,92.1332,43.5647,0.011662,0.036145,0.411779,1.45725
S2_106,1,99.3901,51.6397,0.024554,0.054545,0.332059,1.839
S2_106,2,99.3901,47.7504,0.022676,0.043796,0.296356,1.5103
S2_107,1,108.9494,41.2811,0.007439,0.025391,0.860707,2.682143
S2_107,2,108.9494,67.6683,0.014806,0.030043,0.375579,1.974385
S2_108,1,34.1271,7.35,0.001745,0.019469,NA,2.425
S2_108,2,34.1271,26.7771,0.012755,0.029703,1.09567,2.4162
S2_110,1,77.8426,53.1437,0.007383,0.018519,0.62244,1.679
S2_110,2,77.8426,24.6989,0.005642,0.030928,0.553005,2.01975
S2_111,1,78.1401,44.9647,0.029851,0.034483,1.946749,3.9622
S2_111,2,78.1401,33.1754,0.02349,0.04,0.53021,2.243857
S2_112,1,131.0977,74.0953,0.026144,0.069767,0.640075,2.106
S2_112,2,131.0977,57.0024,0.015152,0.026059,0.5972,1.909364
S2_113a,1,117.4032,63.0003,0.064639,0.076923,0.147205,1.091353
S2_113a,2,117.4032,54.4029,0.069767,0.25,0.124995,0.868067
S2_113b,1,126.7696,57.5928,0.031863,0.068966,0.411532,1.259385
S2_113b,2,126.7696,69.1768,0.026643,0.063492,0.345396,1.035667
S2_114,1,120.6851,53.3854,0.043771,0.084507,0.269069,1.445385
S2_114,2,120.6851,67.2997,0.039702,0.070175,0.310334,1.433312
S2_115,1,93.4456,60.981,0.016736,0.024138,0.619502,1.828583
S2_115,2,93.4456,32.4646,0.012072,0.040936,0.604766,1.549167
S2_116,1,54.6641,30.484,0.034314,0.037736,0.602915,1.908571
S2_116,2,54.6641,24.1801,0.006421,0.019737,0.233845,1.4845
S2_117,1,103.4706,48.8116,0.011921,0.02356,0.513051,2.701444
S2_117,2,103.4706,54.659,0.011429,0.026415,0.577797,2.3099
S2_118,1,95.1388,48.1266,0.012857,0.03125,0.595014,2.293333
S2_118,2,95.1388,47.0122,0.01454,0.026253,0.33649,1.802222
S2_119,1,119.5036,63.6184,0.038363,0.057471,0.531725,1.738133
S2_119,2,119.5036,55.8852,0.025478,0.055944,0.804153,1.863083
S2_120,1,105.2342,58.5654,0.013158,0.025316,0.465356,2.116909
S2_120,2,105.2342,46.6688,0.015101,0.033149,0.539335,1.957111
S2_121,1,132.5883,67.5935,0.014891,0.031818,0.301575,1.676231
S2_121,2,132.5883,64.9948,0.018156,0.044586,0.320293,1.454615
S2_123,1,117.3749,63.886,0.019757,0.035176,0.440364,2.325923
S2_123,2,117.3749,53.4889,0.020794,0.045977,0.97283,2.283364
S2_124,1,108.1695,55.6561,0.017107,0.043478,0.171722,0.749818
S2_124,2,108.1695,52.5134,0.014144,0.042918,0.154142,0.7527
S2_125,1,58.9392,7.0125,0.002445,0.02514,NA,1.876
S2_125,2,58.9392,51.9267,0.014993,0.02765,0.391935,2.093
S2_126,1,95.5647,59.2599,0.019293,0.052632,0.428049,2.080083
S2_126,2,95.5647,36.3048,0.015086,0.043478,0.318149,1.618429
S2_200,1,97.22,54.1763,0.01199,0.016509,2.849303,5.2099
S2_200,2,97.22,43.0437,0.012442,0.038869,1.18027,3.26875
S2_201,1,107.125,61.6084,0.069959,0.111111,0.218825,1.469941
S2_201,2,107.125,45.5166,0.059406,0.078947,0.162738,1.448083
S2_202,1,101.0062,44.8113,0.009988,0.022222,0.44065,1.844875
S2_202,2,101.0062,56.1949,0.016296,0.029851,0.302364,1.172455
S2_203,1,125.1313,65.6208,0.01731,0.030303,0.239446,1.542308
S2_203,2,125.1313,59.5105,0.018898,0.042105,0.269748,1.278333
S2_204,1,127.5895,59.9169,0.036939,0.078125,1.208839,2.667929
S2_204,2,127.5895,67.6726,0.029412,0.092593,0.556122,1.8216
S2_205,1,127.5311,58.783,0.020067,0.040936,0.276721,1.478833
S2_205,2,127.5311,68.7481,0.01983,0.037267,0.237951,1.465714
S2_206,1,133.0209,71.7706,0.04918,0.040816,20.109339,7.994
S2_206,2,133.0209,61.2503,0.044776,0.054545,0.617197,2.023
S2_207,1,136.3205,69.734,0.018494,0.031746,0.369634,1.871071
S2_207,2,136.3205,66.5865,0.023102,0.066667,0.307945,1.717071
S2_208,1,105.9089,40.1665,0.008717,0.028322,0.832473,1.891429
S2_208,2,105.9089,65.7424,0.01715,0.039548,0.31384,1.363538
S2_209,1,113.5067,57.3777,0.014647,0.026627,1.555425,2.147818
S2_209,2,113.5067,56.129,0.016393,0.042056,2.125258,2.905545
S2_210,1,131.6702,62.7902,0.052288,0.096774,0.724219,1.361312
S2_210,2,131.6702,68.88,0.036036,0.058824,0.142945,0.793938
S2_211,1,140.1994,73.7711,0.034836,0.058824,0.425633,1.628647
S2_211,2,140.1994,66.4283,0.031915,0.068493,0.289014,1.419733
S2_212,1,118.178,64.1966,0.027344,0.044118,1.812685,3.036286
S2_212,2,118.178,53.9814,0.012225,0.036232,0.23485,1.4252
S2_213,1,59.8308,28.862,0.021898,0.034483,0.711448,1.966333
S2_213,2,59.8308,30.9688,0.015464,0.035354,1.245012,2.2885
S2_214,1,115.333,52.4419,0.014245,0.025253,0.591392,2.1574
S2_214,2,115.333,62.8911,0.021311,0.04,0.42844,2.019615
S2_215,1,61.3217,5.9452,0.007092,0.009259,NA,4.041
S2_215,2,61.3217,55.3765,0.017544,0.035897,1.029464,2.696909
S2_216,1,68.5775,40.7298,0.008046,0.021429,0.489127,1.128857
S2_216,2,68.5775,27.8477,0.010309,0.032129,0.061679,1.1084
S2_217,1,113.8002,51.325,0.037037,0.06,0.087957,0.836667
S2_217,2,113.8002,62.4752,0.021997,0.051471,0.450355,1.152154
S2_219,1,113.9726,53.1615,0.013263,0.019886,0.387724,1.8764
S2_219,2,113.9726,60.8111,0.016973,0.042328,0.213053,1.586417
S2_220,1,130.1332,64.767,0.026266,0.054054,0.400033,1.845857
S2_220,2,130.1332,65.3662,0.02518,0.03681,0.478438,1.727357
S2_221,1,112.9323,55.819,0.010183,0.028329,0.528405,2.2984
S2_221,2,112.9323,57.1133,0.008953,0.022113,0.228011,2.0776
S2_222,1,146.5407,69.4322,0.044737,0.066667,0.564801,1.826353
S2_222,2,146.5407,77.1085,0.028716,0.057143,0.305372,1.772941
S2_223,1,103.417,51.4312,0.015748,0.026667,0.278679,1.4639
S2_223,2,103.417,51.9858,0.035088,0.083333,0.290355,1.213917
S2_224,1,119.9905,65.9484,0.016883,0.039548,0.764021,1.791769
